'parameter name','list member name'
boolean,true
boolean,false
capacity_margin_method,dispatch_based
flow_scaling_method,no_inflow
flow_scaling_method,use_profile_directly
flow_scaling_method,scale_to_annual
junction_type,diffusion
link_invest_method,not_allowed
link_invest_method,no_limits
link_invest_method,cumulative_limits
link_invest_method,period_limits
link_invest_method,cumulative_and_period_limits
link_invest_method,fix_investments
link_retirement_method,not_retired
link_retirement_method,economic_retirement
link_retirement_method,retire_as_scheduled
link_retirement_method,retire_as_scheduled_or_economic
link_transfer_method,no_losses_no_cost
link_transfer_method,regular_linear
link_transfer_method,exact_integer
link_transfer_method,only_cost
link_transfer_method,one_way
link_transfer_method,only_losses
network_type,none
network_type,transfer
network_type,DC_load_flow
node_type,balance
node_type,commodity
node_type,storage
node_type,node_breaker
node_type,bus_branch
profile_method,upper_limit
profile_method,lower_limit
profile_method,upper_and_lower_limit
profile_method,fixed
profile_method,no_profile
ramp_method,no_constraint
ramp_method,ramp_limit
ramp_method,ramp_cost
ramp_method,ramp_limit_and_cost
reserve_type,upward
reserve_type,downward
reserve_type,symmetric
reserve_type,contingency
sense,equal
sense,greater_than
sense,less_than
solve_mode,single_solve
solve_mode,rolling_window
stochastic_method,none
stochastic_method,interpolate_time_series_forecasts
stochastic_method,analysis_time_forecasts
stochastic_scope,none
stochastic_scope,whole_model
stochastic_scope,set_based_override
storage_binding_method,leap_over_forward_only
storage_binding_method,leap_over_within_period
storage_binding_method,leap_over_within_solve
storage_binding_method,fill_with_representatives
storage_binding_method,fill_with_interlaced_representatives
storage_binding_method,none
storage_fix_method,fix_start
storage_fix_method,fix_start_and_horizon_end
storage_fix_method,fix_all_timesteps
storage_fix_method,fix_horizon_end
storage_fix_method,none
storage_investment_method,not_allowed
storage_investment_method,no_limits
storage_investment_method,cumulative_limits
storage_investment_method,period_limits
storage_investment_method,cumulative_and_period_limits
storage_investment_method,fix_investments
storage_retirement_method,not_retired
storage_retirement_method,economic_retirement
storage_retirement_method,retire_as_scheduled
storage_retirement_method,retire_as_scheduled_or_economic
storage_state_value_method,end_of_solve
storage_state_value_method,all_timesteps
storage_state_value_method,piecewise_linear_relative
storage_state_value_method,piecewise_linear_absolute
storage_state_value_method,none
time_resolution_scope,whole_model
time_resolution_scope,set_based_override
unit_conversion_method,constant_efficiency
unit_conversion_method,partial_load_efficiency
unit_conversion_method,piecewise_linear
unit_conversion_method,piecewise_SOS2
unit_conversion_method,two_way_linear
unit_conversion_method,coefficients_only
unit_invest_method,not_allowed
unit_invest_method,no_limits
unit_invest_method,cumulative_limits
unit_invest_method,period_limits
unit_invest_method,cumulative_and_period_limits
unit_invest_method,fix_investments
unit_retirement_method,not_retired
unit_retirement_method,economic_retirement
unit_retirement_method,retire_as_scheduled
unit_retirement_method,retire_as_scheduled_or_economic
unit_startup_method,no_startup
unit_startup_method,linear
unit_startup_method,integer
unit_startup_method,trajectory
